Timestamp,City,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Temperature_C,Humidity_pct,WindSpeed_ms,WindDirection_deg,SolarRadiation_Wm2,Pressure_mmHg,AQI,AQI_Category
2022-01-26 23:00:00,vishakhapattanam,45.0,161.5,27.625,83.25,66.75,12.675,17.95,0.842,3.1,7.85,16.025,23.25,80.0,0.3,263.0,8.0,749.25,141.6,Moderate
2022-01-28 10:00:00,vishakhapattanam,86.75,216.5,6.525,28.1,20.25,12.5,24.25,2.35,36.775,2.8,5.125,26.375,57.75,1.3,129.5,389.5,752.0,189.3,Moderate
2022-01-29 20:00:00,vishakhapattanam,54.75,117.75,8.325,91.7,55.575,7.225,17.375,0.968,27.95,3.325,13.75,21.025,66.0,0.325,162.25,7.0,751.25,112.7,Moderate
2022-01-31 07:00:00,vishakhapattanam,135.25,354.5,53.925,92.25,92.925,14.275,11.5,1.03,6.05,8.425,30.5,17.5,85.5,0.3,287.5,81.5,750.25,312.6,Very Poor
2022-02-01 18:00:00,vishakhapattanam,44.5,92.5,1.975,18.2,7.05,10.95,15.0,0.12,20.1,0.9,2.2,24.75,73.5,1.6,221.5,74.0,747.75,92.6,Satisfactory
2022-02-03 04:00:00,vishakhapattanam,27.402,79.232,6.879,42.282,28.117,11.049,15.706,0.342,14.058,2.567,24.312,24.704,75.22,0.754,229.073,193.244,750.0,79.6,Satisfactory
2022-02-04 18:00:00,vishakhapattanam,22.0,59.75,8.1,31.625,23.425,13.6,14.175,0.282,13.875,2.35,9.1,24.5,77.75,2.425,228.5,7.0,746.5,60.6,Satisfactory
2022-02-06 05:00:00,vishakhapattanam,50.75,,3.675,27.125,17.45,11.975,16.875,0.228,39.55,1.825,15.625,20.025,72.25,0.3,131.0,7.0,750.0,84.9,Satisfactory
2022-02-07 15:00:00,vishakhapattanam,35.0,111.0,3.625,14.925,10.875,12.625,11.65,0.322,26.025,1.1,2.125,27.275,65.75,1.825,149.25,264.25,749.0,108.3,Moderate
2022-02-09 02:00:00,vishakhapattanam,63.0,382.0,97.125,113.7,139.4,9.2,11.375,0.518,2.475,5.825,15.325,20.575,81.0,0.3,271.25,7.75,750.0,340.6,Very Poor
2022-02-10 13:00:00,vishakhapattanam,32.5,77.5,3.425,11.4,8.825,13.275,7.1,0.312,166.6,0.0,0.0,28.55,64.0,1.35,158.5,436.0,750.0,198.0,Moderate
2022-02-11 23:00:00,vishakhapattanam,25.0,80.0,2.2,7.5,5.8,14.9,14.8,0.0,27.6,0.0,0.1,24.9,78.0,0.3,143.0,8.0,751.0,80.4,Satisfactory
2022-02-13 14:00:00,vishakhapattanam,54.25,104.0,4.375,12.35,10.125,12.65,15.775,0.26,58.0,0.1,0.075,27.0,56.0,1.525,122.25,425.5,748.0,103.6,Moderate
2022-02-15 01:00:00,vishakhapattanam,52.0,150.5,13.175,115.95,72.375,8.375,15.15,0.505,12.45,0.075,0.05,20.475,72.5,0.3,266.5,8.0,749.0,136.6,Moderate
2022-02-16 11:00:00,vishakhapattanam,55.75,107.5,4.9,22.45,15.925,13.675,12.675,0.0,37.0,0.0,0.0,29.575,59.0,0.475,150.5,512.5,748.0,106.0,Moderate
2022-02-17 22:00:00,vishakhapattanam,58.0,100.5,3.725,17.725,12.475,12.95,13.25,0.198,38.75,0.05,0.15,24.025,77.0,0.3,144.5,7.0,749.0,101.3,Moderate
2022-02-19 09:00:00,vishakhapattanam,90.0,167.5,4.675,17.825,13.3,13.85,13.2,0.11,46.65,0.075,0.1,29.475,68.5,0.3,149.75,281.25,751.0,200.0,Moderate
2022-02-20 19:00:00,vishakhapattanam,91.0,237.0,12.425,52.45,38.025,14.725,19.425,0.628,17.3,0.075,0.075,26.525,74.0,2.525,258.5,7.0,746.5,204.3,Poor
2022-02-22 06:00:00,vishakhapattanam,49.25,74.0,42.6,64.125,68.775,7.375,14.175,0.298,17.854,0.0,0.1,24.75,84.5,0.3,268.0,22.25,748.5,82.4,Satisfactory
2022-02-23 17:00:00,vishakhapattanam,30.5,68.25,3.8,11.375,9.125,13.875,13.775,0.058,18.975,0.0,41.675,27.9,72.75,1.425,163.5,32.75,751.0,68.9,Satisfactory
2022-02-25 03:00:00,vishakhapattanam,39.5,108.75,16.475,60.25,45.45,10.1,13.75,0.138,5.925,0.025,0.125,23.6,80.5,0.3,287.0,8.0,750.25,106.8,Moderate
2022-02-26 14:00:00,vishakhapattanam,27.389,58.222,3.975,17.71,12.615,11.505,3.206,0.11,,0.0,0.122,30.05,63.556,1.922,132.667,465.556,751.611,59.1,Satisfactory
2022-02-28 00:00:00,vishakhapattanam,47.25,199.25,52.95,89.95,90.9,6.875,10.8,0.545,166.938,0.0,0.025,21.65,76.25,0.3,270.75,8.0,752.0,198.5,Moderate
2022-03-01 11:00:00,vishakhapattanam,54.75,135.75,7.6,32.725,23.6,15.95,9.1,0.158,59.975,0.0,0.0,31.875,55.0,1.175,146.25,550.0,751.5,124.6,Moderate
2022-03-02 22:00:00,vishakhapattanam,19.0,41.0,3.475,14.9,10.725,12.95,16.85,0.098,19.7,0.0,0.025,26.325,75.5,0.3,134.75,8.0,751.0,41.0,Good
2022-03-04 08:00:00,vishakhapattanam,202.75,425.0,15.525,191.1,114.275,7.6,17.7,0.785,82.717,0.0,0.05,30.4,64.25,0.3,261.25,270.25,751.75,393.8,Very Poor
2022-03-05 19:00:00,vishakhapattanam,26.5,83.75,4.65,42.225,26.225,12.175,15.725,0.59,33.8,0.0,0.0,28.85,55.75,0.3,160.75,8.0,749.5,84.1,Satisfactory
2022-03-07 06:00:00,vishakhapattanam,51.75,130.25,89.275,101.5,126.55,27.4,16.425,0.858,,0.0,0.025,23.625,75.0,0.3,281.25,25.0,749.0,122.3,Moderate
2022-03-08 16:00:00,vishakhapattanam,39.0,83.0,3.075,10.975,7.6,14.125,13.275,0.532,38.2,0.0,0.0,30.625,66.25,2.125,178.75,146.0,746.0,83.3,Satisfactory
2022-03-10 03:00:00,vishakhapattanam,89.0,229.25,40.2,89.2,80.1,11.8,10.675,0.618,5.675,0.0,0.0,24.5,76.75,0.3,280.5,8.0,748.0,196.7,Moderate
2022-03-11 14:00:00,vishakhapattanam,78.75,149.75,2.825,19.95,12.875,13.8,6.9,0.462,74.95,0.0,0.0,32.325,64.5,1.825,142.5,410.75,746.0,162.9,Moderate
2022-03-13 00:00:00,vishakhapattanam,120.0,470.5,138.35,154.5,194.65,22.575,11.8,1.205,4.425,0.0,0.0,26.8,63.75,0.3,252.0,7.0,747.25,424.6,Severe
2022-03-14 11:00:00,vishakhapattanam,69.75,166.5,2.5,32.15,19.1,11.45,12.25,0.735,61.75,0.025,0.075,34.9,54.75,0.8,154.25,537.5,749.75,144.9,Moderate
2022-03-15 22:00:00,vishakhapattanam,65.25,137.25,7.6,72.25,44.6,2.8,13.65,0.42,23.75,0.0,0.0,27.225,75.25,0.3,268.75,7.0,746.0,125.6,Moderate
2022-03-17 08:00:00,vishakhapattanam,72.25,169.0,20.825,86.125,62.775,7.925,26.2,0.71,13.875,0.0,0.0,31.35,67.25,0.3,293.0,277.5,746.0,146.5,Moderate
2022-03-18 19:00:00,vishakhapattanam,34.0,65.75,4.175,22.975,15.625,13.075,15.15,0.272,18.35,0.0,0.0,27.325,77.75,0.3,205.25,8.0,746.75,66.4,Satisfactory
2022-03-20 06:00:00,vishakhapattanam,50.5,150.0,26.25,49.0,47.375,7.875,17.75,0.598,4.225,0.025,0.025,25.35,84.75,0.3,252.5,27.25,745.0,134.0,Moderate
2022-03-21 16:00:00,vishakhapattanam,57.25,105.0,4.2,20.625,14.4,14.975,17.1,0.522,16.669,1.1,2.9,31.55,75.0,1.875,197.5,82.25,742.25,104.3,Moderate
2022-03-23 03:00:00,vishakhapattanam,50.25,74.5,1.25,10.225,6.15,14.75,11.05,0.938,44.55,0.4,0.7,28.575,84.0,0.3,211.5,8.0,744.0,84.1,Satisfactory
2022-03-24 13:00:00,vishakhapattanam,56.75,107.75,9.55,9.625,12.875,8.8,15.9,0.28,17.275,0.375,3.0,32.75,72.25,2.95,211.75,383.25,745.0,106.1,Moderate
2022-03-26 00:00:00,vishakhapattanam,36.0,110.0,8.9,29.25,22.775,9.625,13.725,0.508,7.15,0.2,3.125,28.175,79.25,0.75,248.25,8.0,747.0,107.6,Moderate
2022-03-27 11:00:00,vishakhapattanam,40.25,131.25,18.625,23.075,27.375,12.75,56.4,0.972,9.125,3.025,8.2,35.95,65.5,2.225,212.75,474.5,747.25,121.6,Moderate
2022-03-28 21:00:00,vishakhapattanam,28.0,95.0,13.45,17.125,20.025,6.65,0.9,0.768,10.875,1.475,5.275,29.55,79.5,1.35,253.75,7.5,746.75,95.1,Satisfactory
2022-03-30 08:00:00,vishakhapattanam,34.0,111.0,10.225,13.4,15.45,1.0,12.325,0.53,12.6,0.35,3.525,31.25,73.75,1.75,250.5,233.5,748.0,108.3,Moderate
2022-03-31 19:00:00,vishakhapattanam,31.25,89.75,12.525,28.25,25.275,0.228,14.325,1.495,19.9,5.025,8.65,30.275,80.0,1.325,244.75,8.0,745.0,90.0,Satisfactory
2022-04-02 05:00:00,vishakhapattanam,16.5,47.25,2.85,6.0,5.45,5.6,18.875,0.418,15.775,0.825,4.775,27.125,84.0,1.55,251.25,8.0,747.0,47.2,Good
2022-04-03 16:00:00,vishakhapattanam,26.75,81.5,7.375,11.475,12.125,1.925,13.575,0.535,18.7,0.475,2.425,31.75,70.75,1.625,224.75,61.75,746.0,81.9,Satisfactory
2022-04-05 03:00:00,vishakhapattanam,14.125,47.877,10.759,13.045,15.784,1.227,25.34,0.869,11.934,0.856,5.751,30.74,76.412,1.866,240.0,153.038,748.512,47.9,Good
2022-04-06 16:00:00,vishakhapattanam,15.0,62.5,5.9,14.45,12.475,14.825,9.542,0.43,72.65,1.675,2.9,32.15,71.0,1.7,207.0,118.75,747.0,73.2,Satisfactory
2022-04-08 03:00:00,vishakhapattanam,25.75,134.0,11.675,36.525,28.9,12.75,1.741,0.56,10.375,0.45,2.525,26.85,83.25,0.3,263.75,8.0,747.25,123.4,Moderate
2022-04-09 14:00:00,vishakhapattanam,12.25,23.25,6.175,10.475,10.575,14.1,12.75,0.578,9.1,0.525,2.325,33.35,72.25,3.8,202.25,369.5,744.5,28.9,Good
2022-04-11 00:00:00,vishakhapattanam,12.5,32.0,5.5,35.5,23.35,14.075,16.2,0.88,5.025,7.375,4.375,28.675,81.5,0.55,235.0,8.0,745.25,44.4,Good
2022-04-12 11:00:00,vishakhapattanam,14.5,36.0,7.575,16.7,15.025,12.35,11.1,0.188,3.4,0.425,4.0,35.6,64.5,3.175,192.0,492.25,746.25,36.0,Good
2022-04-13 22:00:00,vishakhapattanam,17.75,108.25,15.7,30.65,29.05,16.45,16.9,1.072,7.875,0.65,4.975,29.95,79.5,2.05,238.5,8.0,745.5,106.4,Moderate
2022-04-15 08:00:00,vishakhapattanam,,67.0,19.45,21.5,27.275,14.725,10.0,0.38,74.9,2.1,11.3,31.85,74.25,3.025,262.75,257.75,746.0,75.4,Satisfactory
2022-04-16 19:00:00,vishakhapattanam,23.25,88.75,34.425,53.55,56.475,8.525,19.85,1.378,5.5,21.45,14.175,31.1,75.0,1.625,237.5,8.0,743.25,89.0,Satisfactory
2022-04-18 06:00:00,vishakhapattanam,28.0,83.75,25.2,46.125,45.0,9.375,6.775,0.345,4.25,0.475,13.975,29.575,81.0,1.425,273.75,53.5,746.0,84.1,Satisfactory
2022-04-19 16:00:00,vishakhapattanam,14.0,56.5,3.5,15.625,11.175,14.15,11.325,0.53,32.85,1.45,4.375,33.15,73.75,1.975,213.25,59.0,745.75,57.4,Satisfactory
2022-04-21 03:00:00,vishakhapattanam,26.0,70.75,3.7,18.525,12.875,15.95,15.675,0.56,23.1,2.75,1.775,30.05,80.25,1.625,226.75,7.0,744.0,71.3,Satisfactory
2022-04-22 13:00:00,vishakhapattanam,7.25,34.0,5.725,10.975,10.5,12.525,15.025,0.305,11.85,0.75,3.275,35.725,64.75,3.6,205.25,410.5,745.25,34.0,Good
2022-04-24 00:00:00,vishakhapattanam,18.0,118.0,9.05,22.7,19.4,14.75,9.381,0.49,5.05,0.25,1.75,30.2,79.5,2.0,247.5,7.0,746.0,112.9,Moderate
2022-04-25 11:00:00,vishakhapattanam,21.25,134.5,10.85,35.875,27.925,15.65,19.425,1.04,12.475,2.4,6.7,39.175,63.0,2.475,192.0,462.5,744.25,123.8,Moderate
2022-04-26 21:00:00,vishakhapattanam,34.25,166.0,18.3,50.425,41.7,15.325,85.35,1.685,15.225,2.45,7.75,31.675,75.75,1.05,235.5,8.0,745.0,144.6,Moderate
2022-04-28 08:00:00,vishakhapattanam,19.5,101.0,24.875,30.875,36.675,10.7,14.675,0.578,5.325,0.35,3.6,34.625,69.25,2.125,253.25,257.25,747.0,101.7,Moderate
2022-04-29 19:00:00,vishakhapattanam,36.75,167.0,34.4,54.55,57.0,16.375,18.35,1.692,4.575,0.95,12.325,32.425,75.0,1.225,251.5,8.0,744.0,145.2,Moderate
2022-05-01 05:00:00,vishakhapattanam,29.0,130.0,9.3,41.55,29.65,12.0,18.0,0.01,7.4,3.3,2.95,30.1,83.0,1.85,256.5,8.0,741.0,120.8,Moderate
2022-05-02 16:00:00,vishakhapattanam,24.0,61.0,4.5,9.925,8.95,13.95,13.55,0.63,27.85,1.0,2.575,34.325,74.25,2.7,189.75,118.5,740.25,61.8,Satisfactory
2022-05-04 03:00:00,vishakhapattanam,21.5,70.25,4.525,30.775,20.075,15.375,16.325,0.09,29.05,1.05,1.5,30.275,79.0,0.45,260.25,8.0,744.0,70.8,Satisfactory
2022-05-05 13:00:00,vishakhapattanam,16.5,49.25,6.425,11.9,11.575,12.325,11.8,0.255,12.75,0.8,2.725,36.45,69.0,3.5,194.5,425.0,742.25,49.2,Good
2022-05-07 00:00:00,vishakhapattanam,45.25,164.5,10.6,61.775,41.475,13.7,12.775,0.302,10.7,1.975,11.45,30.1,74.75,0.625,267.75,7.75,744.0,143.6,Moderate
2022-05-08 11:00:00,vishakhapattanam,19.25,64.75,2.975,10.15,7.875,15.525,10.475,0.468,44.7,1.475,8.625,35.25,69.75,2.675,117.75,423.0,742.0,65.5,Satisfactory
2022-05-09 21:00:00,vishakhapattanam,16.0,43.0,4.5,16.025,12.2,12.8,14.375,0.008,19.025,1.05,5.65,31.125,73.5,3.475,143.75,8.0,741.0,43.0,Good
2022-05-11 08:00:00,vishakhapattanam,43.5,99.5,4.925,6.075,7.25,18.025,19.275,0.375,44.225,0.5,1.4,32.1,79.0,3.8,110.75,144.5,740.5,99.5,Satisfactory
2022-05-12 19:00:00,vishakhapattanam,29.25,56.25,3.575,31.4,19.6,12.65,17.525,0.215,40.525,1.175,4.45,30.675,79.0,1.5,177.25,8.0,742.0,57.1,Satisfactory
2022-05-14 05:00:00,vishakhapattanam,41.25,91.5,7.175,44.8,29.675,10.5,17.075,0.04,12.45,0.275,8.4,28.525,84.0,0.3,276.5,12.5,742.5,91.7,Satisfactory
2022-05-16 16:00:00,vishakhapattanam,19.0,64.25,4.25,8.9,8.2,13.95,8.925,0.168,8.75,0.15,1.45,34.275,75.0,2.35,206.75,152.5,741.5,65.0,Satisfactory
2022-05-18 02:00:00,vishakhapattanam,13.0,52.0,10.075,20.175,18.95,23.475,14.175,0.105,5.325,0.675,3.4,30.0,83.0,0.3,225.0,8.0,742.0,53.0,Satisfactory
2022-05-19 13:00:00,vishakhapattanam,8.5,32.25,9.6,13.05,14.775,17.925,12.625,0.012,8.05,0.85,4.225,37.425,66.75,3.4,218.5,490.25,743.0,32.2,Good
2022-05-21 00:00:00,vishakhapattanam,19.75,69.75,11.3,35.875,28.3,13.025,14.75,0.058,17.9,1.5,5.65,30.85,75.5,1.125,251.0,8.0,742.75,70.4,Satisfactory
2022-05-22 10:00:00,vishakhapattanam,63.25,190.0,4.25,16.775,12.375,24.125,7.275,0.54,39.4,1.825,10.25,38.15,63.25,1.225,161.0,434.75,739.0,160.4,Moderate
2022-05-23 21:00:00,vishakhapattanam,80.75,233.75,20.525,52.225,44.45,22.825,14.65,0.732,5.075,12.15,18.8,34.025,74.75,0.3,254.0,8.0,739.75,189.3,Moderate
2022-05-25 08:00:00,vishakhapattanam,37.25,63.0,14.725,25.9,25.75,15.7,16.8,0.34,4.25,4.175,13.1,23.9,85.5,2.675,265.25,47.25,747.0,63.7,Satisfactory
2022-05-26 18:00:00,vishakhapattanam,60.0,141.5,14.75,27.65,26.675,16.4,14.975,0.138,4.3,3.425,8.075,31.775,75.5,3.35,228.25,8.0,743.75,128.4,Moderate
2022-05-28 05:00:00,vishakhapattanam,74.5,160.25,20.95,39.975,38.3,17.3,7.85,0.0,3.4,3.8,29.775,28.55,78.5,0.65,249.75,12.0,741.5,148.8,Moderate
2022-05-29 16:00:00,vishakhapattanam,,,0.525,,0.05,10.475,11.05,0.575,8.975,1.925,6.725,39.875,63.5,1.625,266.0,152.75,740.0,28.7,Good
2022-05-31 16:00:00,vishakhapattanam,,,11.058,,12.629,10.734,,,1.439,,,35.168,73.339,2.056,252.629,193.887,,2.7,Good
2022-06-02 04:00:00,vishakhapattanam,21.75,101.25,3.95,33.425,20.975,15.75,11.5,0.088,22.425,3.8,2.875,31.125,82.0,1.0,224.5,8.0,742.25,101.8,Moderate
2022-06-03 15:00:00,vishakhapattanam,42.0,96.25,8.05,15.525,14.775,17.35,13.65,0.258,5.075,1.075,3.425,35.25,74.0,3.0,232.25,193.0,740.5,96.3,Satisfactory
2022-06-05 05:00:00,vishakhapattanam,23.75,64.25,5.3,14.35,11.925,25.575,14.35,0.102,17.2,0.85,2.375,30.75,87.0,1.425,252.0,9.75,743.5,65.0,Satisfactory
2022-06-06 16:00:00,vishakhapattanam,40.25,77.25,19.25,85.15,60.95,1.7,5.1,0.632,33.925,1.65,6.975,29.5,72.25,0.65,271.0,70.5,741.0,106.1,Moderate
2022-06-08 03:00:00,vishakhapattanam,51.167,211.2,33.598,42.417,49.922,23.57,12.702,1.023,4.683,10.052,13.023,31.77,81.517,1.897,268.567,66.933,742.033,174.4,Moderate
2022-06-09 14:00:00,vishakhapattanam,72.324,265.0,12.025,40.275,31.225,23.3,13.575,1.158,3.95,5.175,10.25,44.05,54.75,1.925,270.0,374.75,739.0,215.8,Poor
2022-06-11 01:00:00,vishakhapattanam,46.36,169.0,11.525,58.525,40.475,17.475,7.675,0.24,22.275,2.8,12.825,29.625,83.0,0.525,264.0,7.0,743.5,146.5,Moderate
2022-06-12 11:00:00,vishakhapattanam,39.0,122.0,11.625,28.125,24.4,17.075,11.8,0.715,4.55,1.95,7.2,36.0,71.75,2.825,271.0,422.75,744.25,115.5,Moderate
2022-06-13 22:00:00,vishakhapattanam,24.75,52.5,25.35,32.15,37.7,22.425,15.825,0.58,3.925,2.575,11.25,29.925,68.5,1.8,273.25,7.0,744.75,53.4,Satisfactory
2022-06-15 09:00:00,vishakhapattanam,31.5,61.75,12.15,30.325,26.0,18.25,12.4,0.18,3.95,3.3,5.425,34.1,76.25,3.575,265.75,266.0,745.0,62.5,Satisfactory
2022-06-16 19:00:00,vishakhapattanam,12.5,30.75,11.375,20.7,20.25,14.675,6.275,0.205,4.25,0.9,5.025,30.375,81.0,0.3,280.25,4.0,745.5,30.8,Good
2022-06-18 06:00:00,vishakhapattanam,38.25,93.0,30.525,38.0,45.025,19.825,14.525,0.502,27.075,3.625,54.675,28.225,84.75,1.5,269.75,63.75,747.0,93.1,Satisfactory
2022-06-19 17:00:00,vishakhapattanam,9.75,37.25,11.875,27.2,24.125,16.65,10.825,0.078,4.5,0.6,2.6,31.65,75.5,3.4,302.0,43.0,743.0,37.2,Good
2022-06-21 03:00:00,vishakhapattanam,13.174,80.75,36.5,50.675,56.625,12.85,14.775,0.152,20.375,1.375,7.875,26.975,84.25,0.925,270.0,7.0,742.0,81.1,Satisfactory
2022-06-22 14:00:00,vishakhapattanam,24.75,72.75,12.975,30.0,26.5,15.25,11.675,0.342,4.175,2.175,11.075,33.2,70.25,3.2,219.5,280.25,742.5,73.3,Satisfactory
2022-06-24 01:00:00,vishakhapattanam,31.5,78.75,45.675,34.5,55.5,22.175,11.175,0.012,3.6,3.475,24.875,28.45,83.5,1.45,266.25,7.0,744.0,79.2,Satisfactory
2022-06-25 11:00:00,vishakhapattanam,36.75,46.25,46.075,37.2,57.225,19.925,15.45,0.938,4.4,2.775,20.65,25.225,87.75,2.625,298.5,82.5,742.0,62.0,Satisfactory
2022-06-26 22:00:00,vishakhapattanam,44.0,140.25,24.475,47.6,45.225,17.45,8.225,1.245,3.325,7.675,40.55,29.3,81.0,1.45,241.25,7.0,745.0,127.6,Moderate
2022-06-28 09:00:00,vishakhapattanam,20.25,65.25,43.375,32.05,52.35,14.575,14.375,0.49,3.8,2.7,26.15,31.85,72.25,1.375,262.0,259.0,743.75,65.9,Satisfactory
2022-06-29 19:00:00,vishakhapattanam,31.5,90.75,25.65,39.675,41.975,15.525,13.475,0.85,4.375,4.1,11.75,30.15,80.0,1.725,230.75,7.0,742.0,90.9,Satisfactory
2022-07-01 06:00:00,vishakhapattanam,46.75,98.25,30.875,31.7,42.0,15.025,11.8,0.335,3.925,2.1,11.175,29.35,84.25,1.9,242.25,56.0,742.25,98.3,Satisfactory
2022-07-02 17:00:00,vishakhapattanam,27.0,62.5,8.375,19.05,16.925,17.125,9.85,0.08,13.975,1.675,11.425,30.8,80.5,1.775,208.75,39.0,740.0,63.2,Satisfactory
2022-07-04 03:00:00,vishakhapattanam,35.0,,33.6,32.4,44.6,21.0,7.9,0.2,2.7,4.1,138.3,29.3,79.0,1.2,259.0,6.0,740.0,59.2,Satisfactory
2022-07-05 14:00:00,vishakhapattanam,33.0,65.25,19.45,30.6,32.1,13.825,10.45,0.198,4.075,2.05,16.55,33.75,71.0,2.65,208.25,190.75,739.0,65.9,Satisfactory
2022-07-07 01:00:00,vishakhapattanam,25.0,67.75,23.8,29.9,35.25,12.475,17.075,0.175,4.075,1.9,9.65,28.275,80.5,1.675,270.25,6.75,742.0,68.4,Satisfactory
2022-07-08 11:00:00,vishakhapattanam,34.0,74.5,19.0,32.75,32.875,14.55,17.4,0.788,4.05,1.825,13.125,35.525,68.25,1.825,274.0,324.75,740.5,75.0,Satisfactory
2022-07-09 22:00:00,vishakhapattanam,19.75,60.5,33.55,32.175,44.425,12.475,12.575,0.1,4.275,2.55,12.625,26.5,81.5,2.725,281.0,7.0,739.0,61.3,Satisfactory
2022-07-11 08:00:00,vishakhapattanam,16.5,49.0,34.45,30.15,44.05,13.875,12.325,0.655,4.6,1.5,14.575,27.275,81.0,1.65,276.25,97.25,740.0,49.0,Good
2022-07-12 19:00:00,vishakhapattanam,19.75,55.0,48.2,40.475,60.725,15.25,14.275,0.722,4.225,2.25,14.25,27.3,78.0,1.4,247.5,6.5,738.0,55.9,Satisfactory
2022-07-14 06:00:00,vishakhapattanam,16.0,83.724,33.725,33.85,45.425,22.85,16.0,0.292,5.7,1.1,6.15,25.3,80.75,1.65,267.75,23.0,736.75,84.0,Satisfactory
2022-07-15 16:00:00,vishakhapattanam,37.5,115.0,29.975,33.35,42.125,18.525,13.275,0.565,3.575,2.55,14.0,31.725,70.75,2.55,265.0,61.0,739.0,110.9,Moderate
2022-07-17 03:00:00,vishakhapattanam,32.25,84.0,28.75,25.575,37.0,4.225,11.75,0.132,12.425,2.0,18.9,26.85,88.0,1.625,247.0,7.75,741.0,84.3,Satisfactory
2022-07-18 14:00:00,vishakhapattanam,27.5,91.25,21.325,29.975,33.275,4.875,11.175,0.192,4.225,2.375,9.675,31.175,75.75,2.2,248.25,198.75,743.0,91.4,Satisfactory
2022-07-20 00:00:00,vishakhapattanam,23.0,97.75,19.0,29.125,30.925,6.325,14.0,0.16,4.25,1.85,6.3,28.825,83.0,2.4,260.5,7.0,744.0,97.8,Satisfactory
